County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
72,Osceola,12,5994,Sibley-Ocheyedan,9,47,56,83.9
36,Fremont,13,6003,Sidney,0,26,26,100
54,Keokuk,15,6012,Sigourney,8,33,41,80.5
84,Sioux,12,6030,Sioux Center,19,60,79,75.9
11,Buena Vista,5,6035,Sioux Central,14,31,45,68.9
97,Woodbury,12,6039,Sioux City,274,649,923,70.3
13,Calhoun,5,6091,South Central Calhoun,13,41,54,75.9
52,Johnson,10,6093,Solon,23,100,123,81.3
91,Warren,11,6094,Southeast Warren,6,28,34,82.4
40,Hamilton,5,6095,South Hamilton,12,41,53,77.4
94,Webster,5,6096,Southeast Webster Grand,24,63,87,72.4
73,Page,13,6097,South Page,small N,small N,small N,small N
86,Tama,7,6098,South Tama County,35,70,105,66.7
71,O'Brien,12,6099,South O'Brien,7,28,35,80
96,Winneshiek,1,6100,South Winneshiek,4,30,34,88.2
77,Polk,11,6101,Southeast Polk,85,364,449,81.1
21,Clay,5,6102,Spencer,18,152,170,89.4
30,Dickinson,5,6120,Spirit Lake,5,63,68,92.6
57,Linn,10,6138,Springville,10,20,30,66.7
69,Montgomery,13,6165,Stanton,2,14,16,87.5
33,Fayette,1,6175,Starmont,15,37,52,71.2
11,Buena Vista,5,6219,Storm Lake,64,93,157,59.2
40,Hamilton,5,6246,Stratford,0,0,0,
39,Guthrie,11,6264,West Central Valley,8,45,53,84.9
9,Bremer,7,6273,Sumner-Fredericksburg,11,45,56,80.4
16,Cedar,10,6408,Tipton,17,63,80,78.8
78,Pottawattamie,13,6453,Treynor,8,52,60,86.7
78,Pottawattamie,13,6460,Tri-Center,12,32,44,72.7
54,Keokuk,15,6462,Tri-County,8,6,14,42.9
9,Bremer,7,6471,Tripoli,6,15,21,71.4
96,Winneshiek,1,6509,Turkey Valley,1,28,29,96.6
63,Marion,11,6512,Twin Cedars,9,10,19,52.6
46,Humboldt,5,6516,Twin Rivers,0,0,0,
78,Pottawattamie,13,6534,Underwood,15,57,72,79.2
7,Black Hawk,7,6536,Union,18,73,91,80.2
8,Boone,11,6561,United,0,0,0,
77,Polk,11,6579,Urbandale,44,257,301,85.4
33,Fayette,1,6591,Valley,13,57,70,81.4
89,Van Buren,15,6592,Van Buren,20,25,45,55.6
25,Dallas,11,6615,Van Meter,8,46,54,85.2
69,Montgomery,13,6651,Villisca,12,35,47,74.5
6,Benton,10,6660,Vinton-Shellsburg,22,88,110,80
44,Henry,15,6700,Waco,8,17,25,68
81,Sac,5,6741,East Sac County,17,41,58,70.7
58,Louisa,15,6759,Wapello,14,23,37,62.2
9,Bremer,7,6762,Wapsie Valley,14,40,54,74.1
92,Washington,10,6768,Washington,35,80,115,69.6
7,Black Hawk,7,6795,Waterloo,181,458,639,71.7
25,Dallas,11,6822,Waukee,75,596,671,88.8
9,Bremer,7,6840,Waverly-Shell Rock,24,137,161,85.1
93,Wayne,15,6854,Wayne,7,34,41,82.9
40,Hamilton,5,6867,Webster City,36,104,140,74.3
74,Palo Alto,5,6921,West Bend-Mallard,2,18,20,90
16,Cedar,10,6930,West Branch,13,41,54,75.9
29,Des Moines,15,6937,West Burlington Ind,15,45,60,75
33,Fayette,1,6943,West Central,4,19,23,82.6
28,Delaware,1,6950,West Delaware County,23,87,110,79.1
77,Polk,11,6957,West Des Moines,116,464,580,80
31,Dubuque,1,6961,Western Dubuque,24,185,209,88.5
43,Harrison,13,6969,West Harrison,6,19,25,76
70,Muscatine,9,6975,West Liberty,31,66,97,68
60,Lyon,12,6983,West Lyon,9,67,76,88.2
64,Marshall,7,6985,West Marshall,10,57,67,85.1
67,Monona,12,6987,West Monona,12,34,46,73.9
84,Sioux,12,6990,West Sioux,9,44,53,83
97,Woodbury,12,6992,Westwood,7,31,38,81.6
67,Monona,12,7002,Whiting,3,10,13,76.9
48,Iowa,10,7029,Williamsburg,14,61,75,81.3
70,Muscatine,9,7038,Wilton,4,52,56,92.9
44,Henry,15,7047,Winfield-Mt Union,5,27,32,84.4
61,Madison,11,7056,Winterset,25,105,130,80.8
43,Harrison,13,7092,Woodbine,12,22,34,64.7
97,Woodbury,12,7098,Woodbury Central,9,31,40,77.5
25,Dallas,11,7110,Woodward-Granger,12,44,56,78.6
,,,,,,,,
,,,,State,"7,970","24,781","32,751",75.7
