Co,County Name,AEA,Dist,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
33,Fayette,1,6591,Valley,4,32,36,88.9
89,Van Buren,15,6592,Van Buren,11,34,45,75.6
25,Dallas,11,6615,Van Meter,6,52,58,89.7
17,Cerro Gordo,7,6633,Ventura,24,65,89,73
69,Montgomery,13,6651,Villisca,6,8,14,57.1
6,Benton,10,6660,Vinton-Shellsburg,16,95,111,85.6
44,Henry,15,6700,Waco,2,23,25,92
81,Sac,5,6741,East Sac County,16,55,71,77.5
78,Pottawattamie,13,6750,Walnut,small N,small N,small N,small N
58,Louisa,15,6759,Wapello,15,33,48,68.8
9,Bremer,7,6762,Wapsie Valley,16,35,51,68.6
92,Washington,10,6768,Washington,41,108,149,72.5
7,Black Hawk,7,6795,Waterloo,284,396,680,58.2
25,Dallas,11,6822,Waukee,59,485,544,89.2
9,Bremer,7,6840,Waverly-Shell Rock,15,133,148,89.9
93,Wayne,15,6854,Wayne,8,37,45,82.2
40,Hamilton,5,6867,Webster City,4,97,101,96
74,Palo Alto,5,6921,West Bend-Mallard,7,16,23,69.6
16,Cedar,10,6930,West Branch,12,48,60,80
29,Des Moines,15,6937,West Burlington Ind,13,33,46,71.7
33,Fayette,1,6943,West Central,1,16,17,94.1
28,Delaware,1,6950,West Delaware County,12,96,108,88.9
77,Polk,11,6957,West Des Moines,88,558,646,86.4
31,Dubuque,1,6961,Western Dubuque,20,218,238,91.6
43,Harrison,13,6969,West Harrison,3,25,28,89.3
70,Muscatine,9,6975,West Liberty,22,75,97,77.3
60,Lyon,12,6983,West Lyon,12,52,64,81.3
64,Marshall,7,6985,West Marshall,3,68,71,95.8
67,Monona,12,6987,West Monona,11,27,38,71.1
84,Sioux,12,6990,West Sioux,12,34,46,73.9
97,Woodbury,12,6992,Westwood,9,26,35,74.3
67,Monona,12,7002,Whiting,1,14,15,93.3
48,Iowa,10,7029,Williamsburg,18,60,78,76.9
70,Muscatine,9,7038,Wilton,12,36,48,75
44,Henry,15,7047,Winfield-Mt Union,8,22,30,73.3
61,Madison,11,7056,Winterset,7,107,114,93.9
43,Harrison,13,7092,Woodbine,3,22,25,88
97,Woodbury,12,7098,Woodbury Central,10,32,42,76.2
25,Dallas,11,7110,Woodward-Granger,4,42,46,91.3
,,,,,7775,25081,32856,76.3
