County,County Name,AEA,District #,District Name,Grade8.Not Proficient,Grade8.Proficient,Grade8.Total Tested,Grade8.% Proficient
7,Black Hawk,7,6536,Union,29,73,102,71.6
8,Boone,11,6561,United,0,0,0,
77,Polk,11,6579,Urbandale,46,253,299,84.6
33,Fayette,1,6591,Valley,19,51,70,72.9
89,Van Buren,15,6592,Van Buren,7,35,42,83.3
25,Dallas,11,6615,Van Meter,4,45,49,91.8
69,Montgomery,13,6651,Villisca,14,30,44,68.2
6,Benton,10,6660,Vinton-Shellsburg,26,82,108,75.9
44,Henry,15,6700,Waco,8,27,35,77.1
81,Sac,5,6741,East Sac County,12,45,57,78.9
78,Pottawattamie,13,6750,Walnut,0,0,0,
58,Louisa,15,6759,Wapello,19,32,51,62.7
9,Bremer,7,6762,Wapsie Valley,7,46,53,86.8
92,Washington,10,6768,Washington,32,99,131,75.6
7,Black Hawk,7,6795,Waterloo,252,392,644,60.9
25,Dallas,11,6822,Waukee,75,537,612,87.7
9,Bremer,7,6840,Waverly-Shell Rock,27,129,156,82.7
93,Wayne,15,6854,Wayne,11,31,42,73.8
40,Hamilton,5,6867,Webster City,39,69,108,63.9
74,Palo Alto,5,6921,West Bend-Mallard,10,13,23,56.5
16,Cedar,10,6930,West Branch,15,44,59,74.6
29,Des Moines,15,6937,West Burlington Ind,16,31,47,66
33,Fayette,1,6943,West Central,2,15,17,88.2
28,Delaware,1,6950,West Delaware County,11,99,110,90
77,Polk,11,6957,West Des Moines,87,592,679,87.2
31,Dubuque,1,6961,Western Dubuque,36,178,214,83.2
43,Harrison,13,6969,West Harrison,7,13,20,65
70,Muscatine,9,6975,West Liberty,11,74,85,87.1
60,Lyon,12,6983,West Lyon,21,38,59,64.4
64,Marshall,7,6985,West Marshall,5,64,69,92.8
67,Monona,12,6987,West Monona,13,37,50,74
84,Sioux,12,6990,West Sioux,17,43,60,71.7
97,Woodbury,12,6992,Westwood,15,28,43,65.1
67,Monona,12,7002,Whiting,small N,small N,small N,small N
48,Iowa,10,7029,Williamsburg,22,39,61,63.9
70,Muscatine,9,7038,Wilton,11,35,46,76.1
44,Henry,15,7047,Winfield-Mt Union,11,14,25,56
61,Madison,11,7056,Winterset,18,121,139,87.1
43,Harrison,13,7092,Woodbine,2,22,24,91.7
97,Woodbury,12,7098,Woodbury Central,9,28,37,75.7
25,Dallas,11,7110,Woodward-Granger,10,45,55,81.8
,,,,State Total,7934,24843,32777,75.8
