,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,,,,
96,Winneshiek,01,6509,Turkey Valley,0,22,22,100.0,,3,18,21,85.7,,2,23,25,92.0,,1,19,20,95.0,,1,24,25,96.0,,1,28,29,96.6,,4,30,34,88.2,,2,22,24,91.7,,,,,,,,
63,Marion,11,6512,Twin Cedars,1,14,15,93.3,,7,16,23,69.6,,9,18,27,66.7,,12,20,32,62.5,,7,16,23,69.6,,9,10,19,52.6,,7,14,21,66.7,,8,20,28,71.4,,,,,,,,
46,Humboldt,05,6516,Twin Rivers,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
78,Pottawattamie,13,6534,Underwood,6,38,44,86.4,,0,41,41,100.0,,5,43,48,89.6,,12,54,66,81.8,,2,51,53,96.2,,15,57,72,79.2,,8,53,61,86.9,,6,65,71,91.5,,,,,,,,
07,Black Hawk,07,6536,Union,9,56,65,86.2,,7,68,75,90.7,,10,61,71,85.9,,14,70,84,83.3,,8,52,60,86.7,,18,73,91,80.2,,16,82,98,83.7,,8,83,91,91.2,,,,,,,,
08,Boone,11,6561,United,6,31,37,83.8,,3,25,28,89.3,,6,27,33,81.8,,3,13,16,81.3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,
77,Polk,11,6579,Urbandale,28,199,227,87.7,,36,263,299,88.0,,49,217,266,81.6,,36,248,284,87.3,,26,265,291,91.1,,44,257,301,85.4,,47,259,306,84.6,,50,237,287,82.6,,,,,,,,
33,Fayette,01,6591,Valley,3,21,24,87.5,,1,24,25,96.0,,4,18,22,81.8,,3,20,23,87.0,,3,84,87,96.6,,13,57,70,81.4,,0,0,0,,,0,0,0,,,,,,,,,
89,Van Buren,15,6592,Van Buren,9,24,33,72.7,,13,24,37,64.9,,15,27,42,64.3,,11,16,27,59.3,,15,40,55,72.7,,20,25,45,55.6,,11,48,59,81.4,,9,51,60,85.0,,,,,,,,
25,Dallas,11,6615,Van Meter,2,46,48,95.8,,2,46,48,95.8,,9,56,65,86.2,,11,45,56,80.4,,3,56,59,94.9,,8,46,54,85.2,,2,55,57,96.5,,5,56,61,91.8,,,,,,,,
