,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,
Co,County Name,AEA,Dist,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient
53,Jones,10,234,Anamosa,20,51,71,71.8,,14,59,73,80.8,,11,58,69,84.1,,9,76,85,89.4,,15,84,99,84.8,,21,71,92,77.2,,16,75,91,82.4,,20,66,86,76.7
49,Jackson,9,243,Andrew,,10,10,100,,7,15,22,68.2,,6,8,14,57.1,,7,13,20,65,,3,15,18,83.3,,6,11,17,64.7,,,,,,,,,,
77,Polk,11,261,Ankeny,93,660,753,87.6,,74,674,748,90.1,,51,664,715,92.9,,56,665,721,92.2,,41,641,682,94,,31,603,634,95.1,,52,562,614,91.5,,42,523,565,92.6
12,Butler,7,279,Aplington-Parkersburg,10,48,58,82.8,,9,46,55,83.6,,7,44,51,86.3,,14,52,66,78.8,,7,40,47,85.1,,9,59,68,86.8,,6,64,70,91.4,,8,46,54,85.2
32,Emmet,5,333,Armstrong-Ringsted,,,,,,,,,,,small N,small N,small N,small N,,,,,,,,,,,,,,,,,6,40,46,87,,10,36,46,78.3
24,Crawford,12,355,Ar-We-Va,2,11,13,84.6,,3,10,13,76.9,,5,14,19,73.7,,1,11,12,91.7,,,14,14,100,,2,15,17,88.2,,2,12,14,85.7,,1,13,14,92.9
15,Cass,13,387,Atlantic,,,,,,17,75,92,81.5,,15,94,109,86.2,,8,85,93,91.4,,9,91,100,91,,17,94,111,84.7,,18,62,80,77.5,,19,85,104,81.7
5,Audubon,11,414,Audubon,7,21,28,75,,8,27,35,77.1,,4,30,34,88.2,,6,30,36,83.3,,3,24,27,88.9,,2,30,32,93.8,,2,53,55,96.4,,5,41,46,89.1
18,Cherokee,12,423,Aurelia,7,4,11,36.4,,4,9,13,69.2,,15,6,21,28.6,,16,36,52,69.2,,8,45,53,84.9,,12,37,49,75.5,,,,,,,,,,
78,Pottawattamie,13,441,A-H-S-T,5,22,27,81.5,,7,25,32,78.1,,5,31,36,86.1,,4,37,41,90.2,,7,28,35,80,,8,42,50,84,,4,40,44,90.9,,4,31,35,88.6
