,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
02,Adams,13,1431,Corning,6,19,25,76,,5,13,18,72.2,,7,22,29,75.9,,0,0,0,,,0,0,0,,,0,0,0,,,6,44,50,88,,,
41,Hancock,07,1449,Corwith-Wesley,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,small N,small N,small N,small N,,1,9,10,90,,small N,small N,small N,small N,,,
78,Pottawattamie,13,1476,Council Bluffs,172,453,625,72.5,,183,419,602,69.6,,170,371,541,68.6,,186,398,584,68.2,,135,436,571,76.4,,171,348,519,67.1,,139,362,501,72.3,,,
88,Union,13,1503,Creston,29,67,96,69.8,,22,79,101,78.2,,22,62,84,73.8,,22,74,96,77.1,,23,59,82,72,,15,66,81,81.5,,13,107,120,89.2,,,
25,Dallas,11,1576,Dallas Center-Grimes,15,173,188,92,,9,173,182,95.1,,16,156,172,90.7,,22,164,186,88.2,,19,144,163,88.3,,23,136,159,85.5,,15,145,160,90.6,,,
29,Des Moines,15,1602,Danville,11,46,57,80.7,,2,33,35,94.3,,5,35,40,87.5,,7,34,41,82.9,,7,40,47,85.1,,8,43,51,84.3,,7,41,48,85.4,,,
82,Scott,09,1611,Davenport,308,744,1052,70.7,,344,709,1053,67.3,,388,703,1091,64.4,,369,623,992,62.8,,257,760,1017,74.7,,361,610,971,62.8,,230,705,935,75.4,,,
26,Davis,15,1619,Davis County,29,62,91,68.1,,18,79,97,81.4,,12,71,83,85.5,,14,59,73,80.8,,13,64,77,83.1,,16,70,86,81.4,,12,83,95,87.4,,,
96,Winneshiek,01,1638,Decorah Community,4,82,86,95.3,,12,104,116,89.7,,12,110,122,90.2,,9,101,110,91.8,,6,105,111,94.6,,5,98,103,95.1,,5,142,147,96.6,,,
23,Clinton,09,1675,Delwood,2,25,27,92.6,,1,19,20,95,,1,15,16,93.8,,0,15,15,100,,0,0,0,,,0,0,0,,,0,0,0,,,,
24,Crawford,12,1701,Denison,18,105,123,85.4,,26,108,134,80.6,,36,97,133,72.9,,39,83,122,68,,31,122,153,79.7,,33,99,132,75,,33,127,160,79.4,,,
