,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 10,,,,,Grade 11,,,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,,,
03,Allamakee,01,0135,Allamakee,10,53,63,84.1,,12,60,72,83.3,,12,62,74,83.8,,11,59,70,84.3,,5,61,66,92.4,,15,61,76,80.3,,5,70,75,93.3,,12,64,76,84.2,,,,,
12,Butler,07,0153,North Butler,10,36,46,78.3,,13,44,57,77.2,,13,35,48,72.9,,13,33,46,71.7,,18,30,48,62.5,,9,40,49,81.6,,5,27,32,84.4,,12,39,51,76.5,,,,,
11,Buena Vista,05,0171,Alta,14,20,34,58.8,,11,26,37,70.3,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,11,44,55,80,,10,39,49,79.6,,,,,
85,Story,11,0225,Ames,32,247,279,88.5,,40,264,304,86.8,,28,244,272,89.7,,37,240,277,86.6,,41,251,292,86.0,,49,277,326,85.0,,9,268,277,96.8,,31,271,302,89.7,,,,,
53,Jones,10,0234,Anamosa,23,51,74,68.9,,22,60,82,73.2,,16,63,79,79.7,,31,64,95,67.4,,24,54,78,69.2,,25,72,97,74.2,,10,83,93,89.2,,12,75,87,86.2,,,,,
49,Jackson,09,0243,Andrew,4,9,13,69.2,,0,17,17,100.0,,small N,small N,small N,small N,,3,10,13,76.9,,small N,small N,small N,small N,,5,7,12,58.3,,0,0,0,,,0,0,0,,,,,,
77,Polk,11,0261,Ankeny,95,679,774,87.7,,100,710,810,87.7,,85,704,789,89.2,,113,733,846,86.6,,109,717,826,86.8,,107,702,809,86.8,,63,691,754,91.6,,70,630,700,90.0,,,,,
12,Butler,07,0279,Aplington-Parkersburg,13,48,61,78.7,,13,49,62,79.0,,14,46,60,76.7,,9,42,51,82.4,,15,51,66,77.3,,12,39,51,76.5,,11,62,73,84.9,,11,45,56,80.4,,,,,
32,Emmet,05,0333,North Union,2,24,26,92.3,,2,22,24,91.7,,8,20,28,71.4,,0,0,0,,,0,0,0,,,0,0,0,,,2,50,52,96.2,,13,24,37,64.9,,,,,
24,Crawford,12,0355,Ar-We-Va,1,11,12,91.7,,0,17,17,100.0,,6,11,17,64.7,,small N,small N,small N,small N,,3,10,13,76.9,,2,11,13,84.6,,3,13,16,81.3,,1,11,12,91.7,,,,,
15,Cass,13,0387,Atlantic,14,81,95,85.3,,25,78,103,75.7,,36,77,113,68.1,,19,74,93,79.6,,19,94,113,83.2,,19,61,80,76.3,,12,84,96,87.5,,14,67,81,82.7,,,,,
05,Audubon,11,0414,Audubon,10,29,39,74.4,,6,31,37,83.8,,3,32,35,91.4,,5,27,32,84.4,,8,25,33,75.8,,2,32,34,94.1,,11,26,37,70.3,,5,22,27,81.5,,,,,
18,Cherokee,12,0423,Aurelia,5,10,15,66.7,,0,14,14,100.0,,15,38,53,71.7,,14,28,42,66.7,,17,38,55,69.1,,7,38,45,84.4,,0,0,0,,,0,0,0,,,,,,
