,,,,,Grade 3,,,,,Grade 4,,,,,Grade 5,,,,,Grade 6,,,,,Grade 7,,,,,Grade 8,,,,,Grade 11,,,,,,
County,County Name,AEA,District #,District Name,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,Not Proficient,Proficient,Total Tested,% Proficient,,,
57,Linn,10,6138,Springville,2,20,22,90.9,,9,14,23,60.9,,7,24,31,77.4,,10,18,28,64.3,,4,13,17,76.5,,4,20,24,83.3,,3,24,27,88.9,,,
69,Montgomery,13,6165,Stanton,0,11,11,100,,1,16,17,94.1,,2,12,14,85.7,,7,9,16,56.3,,6,9,15,60,,2,19,21,90.5,,3,12,15,80,,,
33,Fayette,01,6175,Starmont,4,40,44,90.9,,8,29,37,78.4,,9,41,50,82,,12,29,41,70.7,,14,28,42,66.7,,5,23,28,82.1,,7,30,37,81.1,,,
11,Buena Vista,05,6219,Storm Lake,39,107,146,73.3,,64,107,171,62.6,,55,93,148,62.8,,48,100,148,67.6,,46,101,147,68.7,,45,91,136,66.9,,36,97,133,72.9,,,
40,Hamilton,05,6246,Stratford,3,13,16,81.3,,4,7,11,63.6,,small N,small N,small N,small N,,4,11,15,73.3,,0,0,0,,,0,0,0,,,0,0,0,,,,
39,Guthrie,11,6264,West Central Valley,14,52,66,78.8,,6,46,52,88.5,,5,50,55,90.9,,8,56,64,87.5,,12,49,61,80.3,,14,41,55,74.5,,10,50,60,83.3,,,
09,Bremer,07,6273,Sumner-Fredericksburg,14,52,66,78.8,,10,50,60,83.3,,10,46,56,82.1,,11,48,59,81.4,,13,36,49,73.5,,16,60,76,78.9,,6,51,57,89.5,,,
16,Cedar,10,6408,Tipton,12,51,63,81,,9,60,69,87,,6,63,69,91.3,,7,67,74,90.5,,9,61,70,87.1,,10,45,55,81.8,,13,47,60,78.3,,,
78,Pottawattamie,13,6453,Treynor,3,59,62,95.2,,10,53,63,84.1,,5,56,61,91.8,,8,53,61,86.9,,5,51,56,91.1,,3,54,57,94.7,,6,44,50,88,,,
78,Pottawattamie,13,6460,Tri-Center,4,38,42,90.5,,7,39,46,84.8,,9,40,49,81.6,,12,43,55,78.2,,9,42,51,82.4,,6,49,55,89.1,,6,40,46,87,,,
54,Keokuk,15,6462,Tri-County,9,6,15,40,,7,17,24,70.8,,6,6,12,50,,3,11,14,78.6,,3,13,16,81.3,,4,8,12,66.7,,2,16,18,88.9,,,
09,Bremer,07,6471,Tripoli,9,15,24,62.5,,8,24,32,75,,6,18,24,75,,4,30,34,88.2,,4,31,35,88.6,,8,25,33,75.8,,4,33,37,89.2,,,
96,Winneshiek,01,6509,Turkey Valley,2,17,19,89.5,,6,16,22,72.7,,0,20,20,100,,0,11,11,100,,5,23,28,82.1,,4,19,23,82.6,,4,21,25,84,,,
63,Marion,11,6512,Twin Cedars,6,21,27,77.8,,7,13,20,65,,4,13,17,76.5,,5,16,21,76.2,,5,17,22,77.3,,7,20,27,74.1,,5,28,33,84.8,,,
46,Humboldt,05,6516,Twin Rivers,small N,small N,small N,small N,,small N,small N,small N,small N,,small N,small N,small N,small N,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,,
