County,County Name,AEA,District #,District Name,Grade 3 Not Proficient,Grade 3 Proficient,Grade 3 Total Tested,Grade 3 % Proficient,,Grade 4 Not Proficient,Grade 4 Proficient,Grade 4 Total Tested,Grade 4 % Proficient,,Grade 5 Not Proficient,Grade 5 Proficient,Grade 5 Total Tested,Grade 5 % Proficient,,Grade 6 Not Proficient,Grade 6 Proficient,Grade 6 Total Tested,Grade 6 % Proficient,,Grade 7 Not Proficient,Grade 7 Proficient,Grade 7 Total Tested,Grade 7 % Proficient,,Grade 8 Not Proficient,Grade 8 Proficient,Grade 8 Total Tested,Grade 8 % Proficient,,Grade 10 Not Proficient,Grade 10 Proficient,Grade 10 Total Tested,Grade 10 % Proficient,,Grade 11 Not Proficient,Grade 11 Proficient,Grade 11 Total Tested,Grade 11 % Proficient,,,
23,Clinton,09,0918,Calamus-Wheatland Comm School District,8,26,34,76.5,,4,29,33,87.9,,12,31,43,72.1,,17,19,36,52.8,,8,31,39,79.5,,3,26,29,89.7,,7,29,36,80.6,,5,30,35,85.7,,,
23,Clinton,09,0936,Camanche Comm School District,14,54,68,79.4,,21,55,76,72.4,,19,43,62,69.4,,12,62,74,83.8,,27,43,70,61.4,,28,57,85,67.1,,25,54,79,68.4,,36,31,67,46.3,,,
90,Wapello,15,0977,Cardinal Comm School District,25,41,66,62.1,,15,44,59,74.6,,38,30,68,44.1,,38,30,68,44.1,,19,49,68,72.1,,26,32,58,55.2,,29,24,53,45.3,,35,24,59,40.7,,,
91,Warren,11,0981,Carlisle Comm School District,34,125,159,78.6,,30,130,160,81.3,,43,145,188,77.1,,68,112,180,62.2,,42,114,156,73.1,,43,125,168,74.4,,49,104,153,68.0,,41,112,153,73.2,,,
14,Carroll,11,0999,Carroll Comm School District,44,67,111,60.4,,29,102,131,77.9,,24,111,135,82.2,,21,110,131,84.0,,26,122,148,82.4,,20,111,131,84.7,,31,93,124,75.0,,23,82,105,78.1,,,
07,Black Hawk,07,1044,Cedar Falls Comm School District,73,333,406,82.0,,72,347,419,82.8,,85,329,414,79.5,,93,366,459,79.7,,55,358,413,86.7,,43,350,393,89.1,,88,274,362,75.7,,86,270,356,75.8,,,
57,Linn,10,1053,Cedar Rapids Comm School District,396,760,"1,156",65.7,,428,724,"1,152",62.8,,456,692,"1,148",60.3,,448,656,"1,104",59.4,,445,627,"1,072",58.5,,391,685,"1,076",63.7,,434,735,"1,169",62.9,,314,727,"1,041",69.8,,,
57,Linn,10,1062,Center Point-Urbana Comm School District,21,95,116,81.9,,15,102,117,87.2,,23,83,106,78.3,,40,81,121,66.9,,18,113,131,86.3,,13,96,109,88.1,,23,91,114,79.8,,19,108,127,85.0,,,
04,Appanoose,15,1071,Centerville Comm School District,38,50,88,56.8,,54,51,105,48.6,,24,82,106,77.4,,24,62,86,72.1,,24,67,91,73.6,,32,61,93,65.6,,42,65,107,60.7,,34,65,99,65.7,,,
56,Lee,15,1079,Central Lee Comm School District,23,66,89,74.2,,18,70,88,79.5,,31,48,79,60.8,,31,58,89,65.2,,22,50,72,69.4,,18,71,89,79.8,,17,53,70,75.7,,22,53,75,70.7,,,
